iter	RMSE
0	13.94774958
1	13.50052893
2	13.05986373
3	12.74598834
4	12.50896381
5	12.28908757
6	12.07749882
7	11.86123994
8	11.69531281
9	11.51304861
10	11.35997702
11	11.2388289
12	11.10081601
13	10.9736788
14	10.91884264
15	10.85293896
16	10.79384364
17	10.73016788
18	10.6765703
19	10.65046681
20	10.57299347
21	10.53063897
22	10.48105135
23	10.43397377
24	10.38158442
25	10.3672267
26	10.34577007
27	10.3085207
28	10.29163606
29	10.23787342
30	10.2212233
31	10.21183784
32	10.18038802
33	10.13282048
34	10.10907735
35	10.07433348
36	10.032437
37	10.02202145
38	9.998336215
39	9.976196808
40	9.969261164
41	9.946558383
42	9.933696462
43	9.925469554
44	9.888479501
45	9.880061607
46	9.865656934
47	9.849984719
48	9.841897572
49	9.838556611
