iter	Passed	Remaining
0	7	352
1	16	391
2	25	403
3	35	404
4	44	401
5	54	396
6	63	389
7	74	391
8	83	382
9	93	372
10	102	362
11	111	352
12	120	343
13	129	333
14	138	323
15	148	314
16	157	304
17	166	295
18	176	287
19	187	281
20	197	273
21	208	265
22	219	257
23	228	247
24	239	239
25	252	232
26	261	222
27	273	215
28	286	207
29	295	197
30	307	188
31	320	180
32	330	170
33	341	160
34	354	151
35	364	141
36	375	132
37	387	122
38	397	112
39	408	102
40	420	92
41	430	81
42	441	71
43	453	61
44	463	51
45	475	41
46	487	31
47	497	20
48	507	10
49	519	0
